run_id,session_id,family_id,variant_id,scenario_name,label,mode,window_index,window_start_utc,window_end_utc,window_duration_s,sample_filename,behavioural_family,protocol_id,source_health_status,sysmon_process_create_count,sysmon_unique_process_image_count,sysmon_powershell_process_count,sysmon_cmd_process_count,sysmon_unique_parent_child_pair_count,sysmon_network_connect_count,sysmon_unique_destination_count,sysmon_dns_query_count,sysmon_file_create_count,sysmon_file_delete_count,sysmon_registry_event_count,osquery_process_count_delta,wazuh_level_00_count,wazuh_level_01_count,wazuh_level_02_count,wazuh_level_03_count,wazuh_level_04_count,wazuh_level_05_count,wazuh_level_06_count,wazuh_level_07_count,wazuh_level_08_count,wazuh_level_09_count,wazuh_level_10_count,wazuh_level_11_count,wazuh_level_12_count,wazuh_level_13_count,wazuh_level_14_count,wazuh_level_15_count,wazuh_alert_total_count,suricata_alert_count,exact_indicator_hit_count,exact_indicator_prediction,rule_baseline_prediction
S01-007-B1-V2,S01,B1,V2,B1-V2,0,Formal,1,2026-07-28T18:27:38.806117Z,2026-07-28T18:28:08.806117Z,30,S01-007-B1-V2-w01,B1,EDR-MSC-FINAL,complete,0,0,0,0,0,2,1,0,16,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,1
S01-007-B1-V2,S01,B1,V2,B1-V2,0,Formal,2,2026-07-28T18:28:08.806117Z,2026-07-28T18:28:38.806117Z,30,S01-007-B1-V2-w02,B1,EDR-MSC-FINAL,complete,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1
S01-007-B1-V2,S01,B1,V2,B1-V2,0,Formal,3,2026-07-28T18:28:38.806117Z,2026-07-28T18:29:08.806117Z,30,S01-007-B1-V2-w03,B1,EDR-MSC-FINAL,complete,0,0,0,0,0,2,1,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,3,2,0,0,1
S01-008-S3-V2,S01,S3,V2,S3-V2,1,Formal,0,2026-07-28T18:31:27.016544Z,2026-07-28T18:31:57.016544Z,30,S01-008-S3-V2-w00,S3,EDR-MSC-FINAL,complete,4,4,0,1,4,2,1,0,4,0,0,-2,0,0,0,4,1,0,1,0,0,0,0,0,0,0,0,0,6,1,0,0,1
S01-008-S3-V2,S01,S3,V2,S3-V2,1,Formal,1,2026-07-28T18:31:57.016544Z,2026-07-28T18:32:27.016544Z,30,S01-008-S3-V2-w01,S3,EDR-MSC-FINAL,complete,0,0,0,0,0,18,1,0,1,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,38,37,0,0,1
S01-008-S3-V2,S01,S3,V2,S3-V2,1,Formal,2,2026-07-28T18:32:27.016544Z,2026-07-28T18:32:57.016544Z,30,S01-008-S3-V2-w02,S3,EDR-MSC-FINAL,complete,1,1,0,0,1,53,12,0,2,0,0,1,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,3,1,0,0,1
S01-008-S3-V2,S01,S3,V2,S3-V2,1,Formal,3,2026-07-28T18:32:57.016544Z,2026-07-28T18:33:27.016544Z,30,S01-008-S3-V2-w03,S3,EDR-MSC-FINAL,complete,2,2,0,1,2,1,1,0,12,0,0,-1,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,6,4,0,0,1
S01-009-B3-V1,S01,B3,V1,B3-V1,0,Formal,0,2026-07-28T18:35:46.241017Z,2026-07-28T18:36:16.241017Z,30,S01-009-B3-V1-w00,B3,EDR-MSC-FINAL,complete,0,0,0,0,0,8,4,0,23,0,0,4,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,4,3,0,0,1
S01-009-B3-V1,S01,B3,V1,B3-V1,0,Formal,1,2026-07-28T18:36:16.241017Z,2026-07-28T18:36:46.241017Z,30,S01-009-B3-V1-w01,B3,EDR-MSC-FINAL,complete,13,5,0,0,5,3,3,5,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,4,1,0,0,1
S01-009-B3-V1,S01,B3,V1,B3-V1,0,Formal,2,2026-07-28T18:36:46.241017Z,2026-07-28T18:37:16.241017Z,30,S01-009-B3-V1-w02,B3,EDR-MSC-FINAL,complete,1,1,0,0,1,0,0,2,1,0,0,-1,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,3,2,0,0,1
