design,left,right,metric,median_difference,lower_95,upper_95,interval_includes_zero
family_holdout_1_B1_S1,hybrid-random_forest,telemetry_only-logistic_regression,recall,0.0,0.0,0.0,True
family_holdout_1_B1_S1,hybrid-random_forest,telemetry_only-logistic_regression,false_positive_rate,0.0,-0.5041666666666665,0.6666666666666666,True
family_holdout_1_B1_S1,hybrid-random_forest,telemetry_only-logistic_regression,balanced_accuracy,0.0,-0.33333333333333337,0.25208333333333394,True
family_holdout_1_B1_S1,hybrid-random_forest,telemetry_only-random_forest,mcc,0.7071067811865476,0.4472135954999579,1.0,False
family_holdout_1_B1_S1,hybrid-random_forest,telemetry_only-random_forest,recall,0.0,0.0,0.0,True
family_holdout_1_B1_S1,hybrid-random_forest,telemetry_only-random_forest,false_positive_rate,-0.6666666666666667,-1.0,-0.33333333333333337,False
family_holdout_1_B1_S1,hybrid-random_forest,telemetry_only-random_forest,balanced_accuracy,0.33333333333333326,0.16666666666666663,0.5,False
family_holdout_1_B1_S1,hybrid-random_forest,telemetry_only-xgboost,mcc,0.7071067811865476,0.30151134457776363,1.0,False
family_holdout_1_B1_S1,hybrid-random_forest,telemetry_only-xgboost,recall,0.0,0.0,0.0,True
family_holdout_1_B1_S1,hybrid-random_forest,telemetry_only-xgboost,false_positive_rate,-0.6666666666666667,-1.0,-0.16666666666666663,False
family_holdout_1_B1_S1,hybrid-random_forest,telemetry_only-xgboost,balanced_accuracy,0.33333333333333326,0.08333333333333337,0.5,False
family_holdout_1_B1_S1,hybrid-xgboost,rule_baseline,mcc,0.0,0.0,0.0,True
family_holdout_1_B1_S1,hybrid-xgboost,rule_baseline,recall,0.0,0.0,0.0,True
family_holdout_1_B1_S1,hybrid-xgboost,rule_baseline,false_positive_rate,0.0,0.0,0.0,True
family_holdout_1_B1_S1,hybrid-xgboost,rule_baseline,balanced_accuracy,0.0,0.0,0.0,True
family_holdout_1_B1_S1,hybrid-xgboost,telemetry_only-logistic_regression,mcc,-0.7071067811865476,-1.0,-0.4472135954999579,False
family_holdout_1_B1_S1,hybrid-xgboost,telemetry_only-logistic_regression,recall,0.0,0.0,0.0,True
family_holdout_1_B1_S1,hybrid-xgboost,telemetry_only-logistic_regression,false_positive_rate,0.6666666666666667,0.33333333333333337,1.0,False
family_holdout_1_B1_S1,hybrid-xgboost,telemetry_only-logistic_regression,balanced_accuracy,-0.33333333333333326,-0.5,-0.16666666666666663,False
family_holdout_1_B1_S1,hybrid-xgboost,telemetry_only-random_forest,mcc,0.0,0.0,0.0,True
family_holdout_1_B1_S1,hybrid-xgboost,telemetry_only-random_forest,recall,0.0,0.0,0.0,True
family_holdout_1_B1_S1,hybrid-xgboost,telemetry_only-random_forest,false_positive_rate,0.0,0.0,0.0,True
family_holdout_1_B1_S1,hybrid-xgboost,telemetry_only-random_forest,balanced_accuracy,0.0,0.0,0.0,True
family_holdout_1_B1_S1,hybrid-xgboost,telemetry_only-xgboost,mcc,0.0,0.0,0.0,True
family_holdout_1_B1_S1,hybrid-xgboost,telemetry_only-xgboost,recall,0.0,0.0,0.0,True
family_holdout_1_B1_S1,hybrid-xgboost,telemetry_only-xgboost,false_positive_rate,0.0,0.0,0.0,True
family_holdout_1_B1_S1,hybrid-xgboost,telemetry_only-xgboost,balanced_accuracy,0.0,0.0,0.0,True
family_holdout_1_B1_S1,rule_baseline,telemetry_only-logistic_regression,mcc,-0.7071067811865476,-1.0,-0.4472135954999579,False
family_holdout_1_B1_S1,rule_baseline,telemetry_only-logistic_regression,recall,0.0,0.0,0.0,True
family_holdout_1_B1_S1,rule_baseline,telemetry_only-logistic_regression,false_positive_rate,0.6666666666666667,0.33333333333333337,1.0,False
family_holdout_1_B1_S1,rule_baseline,telemetry_only-logistic_regression,balanced_accuracy,-0.33333333333333326,-0.5,-0.16666666666666663,False
family_holdout_1_B1_S1,rule_baseline,telemetry_only-random_forest,mcc,0.0,0.0,0.0,True
family_holdout_1_B1_S1,rule_baseline,telemetry_only-random_forest,recall,0.0,0.0,0.0,True
family_holdout_1_B1_S1,rule_baseline,telemetry_only-random_forest,false_positive_rate,0.0,0.0,0.0,True
family_holdout_1_B1_S1,rule_baseline,telemetry_only-random_forest,balanced_accuracy,0.0,0.0,0.0,True
family_holdout_1_B1_S1,rule_baseline,telemetry_only-xgboost,mcc,0.0,0.0,0.0,True
family_holdout_1_B1_S1,rule_baseline,telemetry_only-xgboost,recall,0.0,0.0,0.0,True
family_holdout_1_B1_S1,rule_baseline,telemetry_only-xgboost,false_positive_rate,0.0,0.0,0.0,True
family_holdout_1_B1_S1,rule_baseline,telemetry_only-xgboost,balanced_accuracy,0.0,0.0,0.0,True
family_holdout_1_B1_S1,telemetry_only-logistic_regression,telemetry_only-random_forest,mcc,0.7071067811865476,0.4472135954999579,1.0,False
family_holdout_1_B1_S1,telemetry_only-logistic_regression,telemetry_only-random_forest,recall,0.0,0.0,0.0,True
family_holdout_1_B1_S1,telemetry_only-logistic_regression,telemetry_only-random_forest,false_positive_rate,-0.6666666666666667,-1.0,-0.33333333333333337,False
family_holdout_1_B1_S1,telemetry_only-logistic_regression,telemetry_only-random_forest,balanced_accuracy,0.33333333333333326,0.16666666666666663,0.5,False
family_holdout_1_B1_S1,telemetry_only-logistic_regression,telemetry_only-xgboost,mcc,0.7071067811865476,0.30151134457776363,1.0,False
family_holdout_1_B1_S1,telemetry_only-logistic_regression,telemetry_only-xgboost,recall,0.0,0.0,0.0,True
family_holdout_1_B1_S1,telemetry_only-logistic_regression,telemetry_only-xgboost,false_positive_rate,-0.6666666666666667,-1.0,-0.16666666666666663,False
family_holdout_1_B1_S1,telemetry_only-logistic_regression,telemetry_only-xgboost,balanced_accuracy,0.33333333333333326,0.08333333333333337,0.5,False
family_holdout_1_B1_S1,telemetry_only-random_forest,telemetry_only-xgboost,mcc,0.0,0.0,0.0,True
family_holdout_1_B1_S1,telemetry_only-random_forest,telemetry_only-xgboost,recall,0.0,0.0,0.0,True
family_holdout_1_B1_S1,telemetry_only-random_forest,telemetry_only-xgboost,false_positive_rate,0.0,0.0,0.0,True
family_holdout_1_B1_S1,telemetry_only-random_forest,telemetry_only-xgboost,balanced_accuracy,0.0,0.0,0.0,True
family_holdout_2_B2_S2,exact_indicator_baseline,hybrid-logistic_regression,mcc,0.2758389246118621,-0.13052581312048095,0.8451542547285166,True
family_holdout_2_B2_S2,exact_indicator_baseline,hybrid-logistic_regression,recall,-0.5,-0.8333333333333334,-0.16666666666666663,False
family_holdout_2_B2_S2,exact_indicator_baseline,hybrid-logistic_regression,false_positive_rate,-0.8333333333333334,-1.0,-0.5,False
family_holdout_2_B2_S2,exact_indicator_baseline,hybrid-logistic_regression,balanced_accuracy,0.16666666666666663,-0.08333333333333326,0.41666666666666674,True
family_holdout_2_B2_S2,exact_indicator_baseline,hybrid-random_forest,mcc,0.5773502691896257,0.30151134457776363,0.8451542547285166,False
family_holdout_2_B2_S2,exact_indicator_baseline,hybrid-random_forest,recall,-0.5,-0.8333333333333334,-0.16666666666666663,False
family_holdout_2_B2_S2,exact_indicator_baseline,hybrid-random_forest,false_positive_rate,-1.0,-1.0,-1.0,False
family_holdout_2_B2_S2,exact_indicator_baseline,hybrid-random_forest,balanced_accuracy,0.25,0.08333333333333337,0.41666666666666674,False
family_holdout_2_B2_S2,exact_indicator_baseline,hybrid-xgboost,mcc,-0.26780398553889084,-0.8451542547285166,0.138047473541969,True
family_holdout_2_B2_S2,exact_indicator_baseline,hybrid-xgboost,recall,-0.5,-1.0,-0.16666666666666663,False
family_holdout_2_B2_S2,exact_indicator_baseline,hybrid-xgboost,false_positive_rate,-0.16666666666666666,-0.5,0.0,True
family_holdout_2_B2_S2,exact_indicator_baseline,hybrid-xgboost,balanced_accuracy,-0.16666666666666669,-0.41666666666666674,0.08333333333333348,True
family_holdout_2_B2_S2,exact_indicator_baseline,rule_baseline,mcc,0.5773502691896257,0.30151134457776363,0.8490253983603046,False
family_holdout_2_B2_S2,exact_indicator_baseline,rule_baseline,recall,-0.5,-0.8333333333333334,-0.162499999999999,False
family_holdout_2_B2_S2,exact_indicator_baseline,rule_baseline,false_positive_rate,-1.0,-1.0,-1.0,False
family_holdout_2_B2_S2,exact_indicator_baseline,rule_baseline,balanced_accuracy,0.25,0.08333333333333337,0.41875000000000057,False
family_holdout_2_B2_S2,exact_indicator_baseline,telemetry_only-logistic_regression,mcc,-0.12975651199692184,-0.6984886554222364,0.29310867195756024,True
family_holdout_2_B2_S2,exact_indicator_baseline,telemetry_only-logistic_regression,recall,-0.5,-0.8333333333333334,-0.16666666666666663,False
family_holdout_2_B2_S2,exact_indicator_baseline,telemetry_only-logistic_regression,false_positive_rate,-0.3333333333333333,-0.6666666666666666,0.0,True
family_holdout_2_B2_S2,exact_indicator_baseline,telemetry_only-logistic_regression,balanced_accuracy,-0.08333333333333326,-0.33333333333333337,0.16666666666666674,True
family_holdout_2_B2_S2,exact_indicator_baseline,telemetry_only-random_forest,mcc,0.5773502691896257,0.30151134457776363,0.8451542547285166,False
family_holdout_2_B2_S2,exact_indicator_baseline,telemetry_only-random_forest,recall,-0.5,-0.8333333333333334,-0.16666666666666663,False
family_holdout_2_B2_S2,exact_indicator_baseline,telemetry_only-random_forest,false_positive_rate,-1.0,-1.0,-1.0,False
family_holdout_2_B2_S2,exact_indicator_baseline,telemetry_only-random_forest,balanced_accuracy,0.25,0.08333333333333337,0.41666666666666674,False
family_holdout_2_B2_S2,exact_indicator_baseline,telemetry_only-xgboost,mcc,0.5773502691896257,0.30151134457776363,1.0,False
family_holdout_2_B2_S2,exact_indicator_baseline,telemetry_only-xgboost,recall,-0.5,-0.8333333333333334,0.0,True
family_holdout_2_B2_S2,exact_indicator_baseline,telemetry_only-xgboost,false_positive_rate,-1.0,-1.0,-1.0,False
family_holdout_2_B2_S2,exact_indicator_baseline,telemetry_only-xgboost,balanced_accuracy,0.25,0.08333333333333337,0.5,False
family_holdout_2_B2_S2,hybrid-logistic_regression,hybrid-random_forest,mcc,0.30151134457776363,0.0,0.5773502691896257,True
family_holdout_2_B2_S2,hybrid-logistic_regression,hybrid-random_forest,recall,0.0,0.0,0.0,True
family_holdout_2_B2_S2,hybrid-logistic_regression,hybrid-random_forest,false_positive_rate,-0.16666666666666663,-0.5,0.0,True
family_holdout_2_B2_S2,hybrid-logistic_regression,hybrid-random_forest,balanced_accuracy,0.08333333333333337,0.0,0.25,True
family_holdout_2_B2_S2,hybrid-logistic_regression,hybrid-xgboost,mcc,-0.5773502691896257,-1.0,-0.25989318568658965,False
family_holdout_2_B2_S2,hybrid-logistic_regression,hybrid-xgboost,recall,0.0,0.0,0.0,True
